IP Âú∞ÂùÄ,Â∑≤ÂèëÈÄ?Â∑≤Êé•Êî?‰∏¢ÂåÖÁé?Âπ≥ÂùáÂª∂Ëøü,‰∏ãËΩΩÈÄüÂ∫¶ (MB/s),,,
104.18.174.106,4,4,0,83.97,30.82
104.18.187.21,4,4,0,113.34,7.37
104.18.169.70,4,4,0,118.08,5.97
104.18.181.239,4,4,0,139.26,0.33
190.93.246.122,4,4,0,40.85,103.43
104.18.188.25,4,4,0,32.35,54.3
104.18.68.228,4,4,0,66.39,19.86
104.17.196.137,4,4,0,69.18,0.83
2606:4700:a9:30:9c2e:bb5e:4921:5439,4,4,0,177.06,59.97
2606:4700:a9:cef0:68fc:d797:9329:3ff1,4,4,0,177.48,57.29
2606:4700:a9:cef0:6818:6cd5:f253:da6,4,4,0,177.47,52.71
2606:4700:a9:0:57:c05d:cd76:9b85,4,4,0,176.64,48.85
2606:4700:a9:0:57:cf23:3cf3:22ab,4,4,0,177.45,46.34
2606:4700:a9:0:144b:14a:86af:7b56,4,4,0,174.79,44.6
2606:4700:a9:0:3714:3f16:675b:5647,4,4,0,177.7,44.35
2606:4700:a9:ce20:2236:cd5c:6db1:82e0,4,4,0,177.54,43.67
2606:4700:a9:0:3714:2553:1279:e174,4,4,0,176.03,41.96
2606:4700:a9:ce20:252e:d936:577e:3120,4,4,0,177.79,39.37
